no,queryPattern,queryName,lambdaFunctionName,sourceCodeFunctionName,queryAlias,fullSQL,shortSQL,count
1,Q1,Display Log Json,prd-coupon-InvokeCouponDisplayLog-function,displayedLogSql,Q1_1," SELECT l.couponId AS ""クーポンID"", o.name AS ""組織名"", l.couponCode AS ""クーポンコード"", l.couponName AS ""クーポン名"", l.barcode AS ""バーコード"", l.operateFrom AS ""操作元"", to_char(TIMESTAMP 'epoch' + (l.createAtMillis / 1000) * INTERVAL '1 second', 'YYYY-MM-DD""T""HH24:MI:SS.MS""Z""') AS ""日時"", (SELECT COUNT(*) FROM coupon_logs l2 WHERE l2.type = 'displayed' AND l2.couponId = l.couponId) AS ""参照回数"", l.couponMasterId AS ""クーポンマスタID"" FROM coupon_logs l JOIN ( SELECT couponId, MAX(createAtMillis) AS createAtMillis FROM coupon_logs WHERE type = 'displayed' GROUP BY couponId ) latest ON l.couponId = latest.couponId AND l.createAtMillis = latest.createAtMillis JOIN organization o ON l.organizationId = o.resourceId AND l.couponMasterId = '4bb8c2f8-5ef7-461d-97ea-312bd1761de5' AND l.couponMasterId = '4bb8c2f8-5ef7-461d-97ea-312bd1761de5' ORDER BY l.couponCode, l.couponName, l.createAtMillis LIMIT 100 OFFSET 0 "," _SAME_ AND l.couponMasterId = '4bb8c2f8-5ef7-461d-97ea-312bd1761de5' AND l.couponMasterId = '4bb8c2f8-5ef7-461d-97ea-312bd1761de5' ORDER BY l.couponCode, l.couponName, l.createAtMillis LIMIT 100 OFFSET 0 ",10
2,Q1,Display Log Json,prd-coupon-InvokeCouponDisplayLog-function,displayedLogSql,Q1_2," SELECT l.couponId AS ""クーポンID"", o.name AS ""組織名"", l.couponCode AS ""クーポンコード"", l.couponName AS ""クーポン名"", l.barcode AS ""バーコード"", l.operateFrom AS ""操作元"", to_char(TIMESTAMP 'epoch' + (l.createAtMillis / 1000) * INTERVAL '1 second', 'YYYY-MM-DD""T""HH24:MI:SS.MS""Z""') AS ""日時"", (SELECT COUNT(*) FROM coupon_logs l2 WHERE l2.type = 'displayed' AND l2.couponId = l.couponId) AS ""参照回数"", l.couponMasterId AS ""クーポンマスタID"" FROM coupon_logs l JOIN ( SELECT couponId, MAX(createAtMillis) AS createAtMillis FROM coupon_logs WHERE type = 'displayed' GROUP BY couponId ) latest ON l.couponId = latest.couponId AND l.createAtMillis = latest.createAtMillis JOIN organization o ON l.organizationId = o.resourceId AND l.couponMasterId = 'dd64917a-0420-416b-8908-5743ca434627' AND l.couponMasterId = 'dd64917a-0420-416b-8908-5743ca434627' ORDER BY l.couponCode, l.couponName, l.createAtMillis LIMIT 100 OFFSET 0 "," _SAME_ AND l.couponMasterId = 'dd64917a-0420-416b-8908-5743ca434627' AND l.couponMasterId = 'dd64917a-0420-416b-8908-5743ca434627' ORDER BY l.couponCode, l.couponName, l.createAtMillis LIMIT 100 OFFSET 0 ",7
3,Q1,Display Log Json,prd-coupon-InvokeCouponDisplayLog-function,displayedLogSql,Q1_3," SELECT l.couponId AS ""クーポンID"", o.name AS ""組織名"", l.couponCode AS ""クーポンコード"", l.couponName AS ""クーポン名"", l.barcode AS ""バーコード"", l.operateFrom AS ""操作元"", to_char(TIMESTAMP 'epoch' + (l.createAtMillis / 1000) * INTERVAL '1 second', 'YYYY-MM-DD""T""HH24:MI:SS.MS""Z""') AS ""日時"", (SELECT COUNT(*) FROM coupon_logs l2 WHERE l2.type = 'displayed' AND l2.couponId = l.couponId) AS ""参照回数"", l.couponMasterId AS ""クーポンマスタID"" FROM coupon_logs l JOIN ( SELECT couponId, MAX(createAtMillis) AS createAtMillis FROM coupon_logs WHERE type = 'displayed' GROUP BY couponId ) latest ON l.couponId = latest.couponId AND l.createAtMillis = latest.createAtMillis JOIN organization o ON l.organizationId = o.resourceId AND l.couponMasterId = '8c29f80a-0031-40ba-9506-6dad8a8527c7' AND l.couponMasterId = '8c29f80a-0031-40ba-9506-6dad8a8527c7' ORDER BY l.couponCode, l.couponName, l.createAtMillis LIMIT 100 OFFSET 0 "," _SAME_ AND l.couponMasterId = '8c29f80a-0031-40ba-9506-6dad8a8527c7' AND l.couponMasterId = '8c29f80a-0031-40ba-9506-6dad8a8527c7' ORDER BY l.couponCode, l.couponName, l.createAtMillis LIMIT 100 OFFSET 0 ",3
4,Q1,Display Log Json,prd-coupon-InvokeCouponDisplayLog-function,displayedLogSql,Q1_4," SELECT l.couponId AS ""クーポンID"", o.name AS ""組織名"", l.couponCode AS ""クーポンコード"", l.couponName AS ""クーポン名"", l.barcode AS ""バーコード"", l.operateFrom AS ""操作元"", to_char(TIMESTAMP 'epoch' + (l.createAtMillis / 1000) * INTERVAL '1 second', 'YYYY-MM-DD""T""HH24:MI:SS.MS""Z""') AS ""日時"", (SELECT COUNT(*) FROM coupon_logs l2 WHERE l2.type = 'displayed' AND l2.couponId = l.couponId) AS ""参照回数"", l.couponMasterId AS ""クーポンマスタID"" FROM coupon_logs l JOIN ( SELECT couponId, MAX(createAtMillis) AS createAtMillis FROM coupon_logs WHERE type = 'displayed' GROUP BY couponId ) latest ON l.couponId = latest.couponId AND l.createAtMillis = latest.createAtMillis JOIN organization o ON l.organizationId = o.resourceId AND l.couponMasterId = 'cbb980b6-fb05-4010-8376-941502ef2c06' AND l.couponMasterId = 'cbb980b6-fb05-4010-8376-941502ef2c06' ORDER BY l.couponCode, l.couponName, l.createAtMillis LIMIT 100 OFFSET 0 "," _SAME_ AND l.couponMasterId = 'cbb980b6-fb05-4010-8376-941502ef2c06' AND l.couponMasterId = 'cbb980b6-fb05-4010-8376-941502ef2c06' ORDER BY l.couponCode, l.couponName, l.createAtMillis LIMIT 100 OFFSET 0 ",3
5,Q1,Display Log Json,prd-coupon-InvokeCouponDisplayLog-function,displayedLogSql,Q1_5," SELECT l.couponId AS ""クーポンID"", o.name AS ""組織名"", l.couponCode AS ""クーポンコード"", l.couponName AS ""クーポン名"", l.barcode AS ""バーコード"", l.operateFrom AS ""操作元"", to_char(TIMESTAMP 'epoch' + (l.createAtMillis / 1000) * INTERVAL '1 second', 'YYYY-MM-DD""T""HH24:MI:SS.MS""Z""') AS ""日時"", (SELECT COUNT(*) FROM coupon_logs l2 WHERE l2.type = 'displayed' AND l2.couponId = l.couponId) AS ""参照回数"", l.couponMasterId AS ""クーポンマスタID"" FROM coupon_logs l JOIN ( SELECT couponId, MAX(createAtMillis) AS createAtMillis FROM coupon_logs WHERE type = 'displayed' GROUP BY couponId ) latest ON l.couponId = latest.couponId AND l.createAtMillis = latest.createAtMillis JOIN organization o ON l.organizationId = o.resourceId AND l.couponMasterId = 'fcb6da48-238c-48d9-99a2-2b20ae643c8b' AND l.couponMasterId = 'fcb6da48-238c-48d9-99a2-2b20ae643c8b' ORDER BY l.couponCode, l.couponName, l.createAtMillis LIMIT 100 OFFSET 0 "," _SAME_ AND l.couponMasterId = 'fcb6da48-238c-48d9-99a2-2b20ae643c8b' AND l.couponMasterId = 'fcb6da48-238c-48d9-99a2-2b20ae643c8b' ORDER BY l.couponCode, l.couponName, l.createAtMillis LIMIT 100 OFFSET 0 ",3
6,Q1,Display Log Json,prd-coupon-InvokeCouponDisplayLog-function,displayedLogSql,Q1_6," SELECT l.couponId AS ""クーポンID"", o.name AS ""組織名"", l.couponCode AS ""クーポンコード"", l.couponName AS ""クーポン名"", l.barcode AS ""バーコード"", l.operateFrom AS ""操作元"", to_char(TIMESTAMP 'epoch' + (l.createAtMillis / 1000) * INTERVAL '1 second', 'YYYY-MM-DD""T""HH24:MI:SS.MS""Z""') AS ""日時"", (SELECT COUNT(*) FROM coupon_logs l2 WHERE l2.type = 'displayed' AND l2.couponId = l.couponId) AS ""参照回数"", l.couponMasterId AS ""クーポンマスタID"" FROM coupon_logs l JOIN ( SELECT couponId, MAX(createAtMillis) AS createAtMillis FROM coupon_logs WHERE type = 'displayed' GROUP BY couponId ) latest ON l.couponId = latest.couponId AND l.createAtMillis = latest.createAtMillis JOIN organization o ON l.organizationId = o.resourceId AND l.couponMasterId = '070f003f-2451-4f33-9347-d5ea39834288' AND l.couponMasterId = '070f003f-2451-4f33-9347-d5ea39834288' ORDER BY l.couponCode, l.couponName, l.createAtMillis LIMIT 100 OFFSET 0 "," _SAME_ AND l.couponMasterId = '070f003f-2451-4f33-9347-d5ea39834288' AND l.couponMasterId = '070f003f-2451-4f33-9347-d5ea39834288' ORDER BY l.couponCode, l.couponName, l.createAtMillis LIMIT 100 OFFSET 0 ",2
7,Q1,Display Log Json,prd-coupon-InvokeCouponDisplayLog-function,displayedLogSql,Q1_7," SELECT l.couponId AS ""クーポンID"", o.name AS ""組織名"", l.couponCode AS ""クーポンコード"", l.couponName AS ""クーポン名"", l.barcode AS ""バーコード"", l.operateFrom AS ""操作元"", to_char(TIMESTAMP 'epoch' + (l.createAtMillis / 1000) * INTERVAL '1 second', 'YYYY-MM-DD""T""HH24:MI:SS.MS""Z""') AS ""日時"", (SELECT COUNT(*) FROM coupon_logs l2 WHERE l2.type = 'displayed' AND l2.couponId = l.couponId) AS ""参照回数"", l.couponMasterId AS ""クーポンマスタID"" FROM coupon_logs l JOIN ( SELECT couponId, MAX(createAtMillis) AS createAtMillis FROM coupon_logs WHERE type = 'displayed' GROUP BY couponId ) latest ON l.couponId = latest.couponId AND l.createAtMillis = latest.createAtMillis JOIN organization o ON l.organizationId = o.resourceId AND l.couponMasterId = '09bab7cd-c8c0-49e8-90d9-8b67046f1c8d' AND l.couponMasterId = '09bab7cd-c8c0-49e8-90d9-8b67046f1c8d' ORDER BY l.couponCode, l.couponName, l.createAtMillis LIMIT 100 OFFSET 0 "," _SAME_ AND l.couponMasterId = '09bab7cd-c8c0-49e8-90d9-8b67046f1c8d' AND l.couponMasterId = '09bab7cd-c8c0-49e8-90d9-8b67046f1c8d' ORDER BY l.couponCode, l.couponName, l.createAtMillis LIMIT 100 OFFSET 0 ",2
8,Q1,Display Log Json,prd-coupon-InvokeCouponDisplayLog-function,displayedLogSql,Q1_8," SELECT l.couponId AS ""クーポンID"", o.name AS ""組織名"", l.couponCode AS ""クーポンコード"", l.couponName AS ""クーポン名"", l.barcode AS ""バーコード"", l.operateFrom AS ""操作元"", to_char(TIMESTAMP 'epoch' + (l.createAtMillis / 1000) * INTERVAL '1 second', 'YYYY-MM-DD""T""HH24:MI:SS.MS""Z""') AS ""日時"", (SELECT COUNT(*) FROM coupon_logs l2 WHERE l2.type = 'displayed' AND l2.couponId = l.couponId) AS ""参照回数"", l.couponMasterId AS ""クーポンマスタID"" FROM coupon_logs l JOIN ( SELECT couponId, MAX(createAtMillis) AS createAtMillis FROM coupon_logs WHERE type = 'displayed' GROUP BY couponId ) latest ON l.couponId = latest.couponId AND l.createAtMillis = latest.createAtMillis JOIN organization o ON l.organizationId = o.resourceId AND l.couponMasterId = '0c31274e-aff1-45c5-a484-813689f9fbb9' AND l.couponMasterId = '0c31274e-aff1-45c5-a484-813689f9fbb9' ORDER BY l.couponCode, l.couponName, l.createAtMillis LIMIT 100 OFFSET 0 "," _SAME_ AND l.couponMasterId = '0c31274e-aff1-45c5-a484-813689f9fbb9' AND l.couponMasterId = '0c31274e-aff1-45c5-a484-813689f9fbb9' ORDER BY l.couponCode, l.couponName, l.createAtMillis LIMIT 100 OFFSET 0 ",2
9,Q1,Display Log Json,prd-coupon-InvokeCouponDisplayLog-function,displayedLogSql,Q1_9," SELECT l.couponId AS ""クーポンID"", o.name AS ""組織名"", l.couponCode AS ""クーポンコード"", l.couponName AS ""クーポン名"", l.barcode AS ""バーコード"", l.operateFrom AS ""操作元"", to_char(TIMESTAMP 'epoch' + (l.createAtMillis / 1000) * INTERVAL '1 second', 'YYYY-MM-DD""T""HH24:MI:SS.MS""Z""') AS ""日時"", (SELECT COUNT(*) FROM coupon_logs l2 WHERE l2.type = 'displayed' AND l2.couponId = l.couponId) AS ""参照回数"", l.couponMasterId AS ""クーポンマスタID"" FROM coupon_logs l JOIN ( SELECT couponId, MAX(createAtMillis) AS createAtMillis FROM coupon_logs WHERE type = 'displayed' GROUP BY couponId ) latest ON l.couponId = latest.couponId AND l.createAtMillis = latest.createAtMillis JOIN organization o ON l.organizationId = o.resourceId AND l.couponMasterId = '3155024d-3274-48df-aecd-dcfec3269553' AND l.couponMasterId = '3155024d-3274-48df-aecd-dcfec3269553' ORDER BY l.couponCode, l.couponName, l.createAtMillis LIMIT 100 OFFSET 0 "," _SAME_ AND l.couponMasterId = '3155024d-3274-48df-aecd-dcfec3269553' AND l.couponMasterId = '3155024d-3274-48df-aecd-dcfec3269553' ORDER BY l.couponCode, l.couponName, l.createAtMillis LIMIT 100 OFFSET 0 ",2
10,Q1,Display Log Json,prd-coupon-InvokeCouponDisplayLog-function,displayedLogSql,Q1_10," SELECT l.couponId AS ""クーポンID"", o.name AS ""組織名"", l.couponCode AS ""クーポンコード"", l.couponName AS ""クーポン名"", l.barcode AS ""バーコード"", l.operateFrom AS ""操作元"", to_char(TIMESTAMP 'epoch' + (l.createAtMillis / 1000) * INTERVAL '1 second', 'YYYY-MM-DD""T""HH24:MI:SS.MS""Z""') AS ""日時"", (SELECT COUNT(*) FROM coupon_logs l2 WHERE l2.type = 'displayed' AND l2.couponId = l.couponId) AS ""参照回数"", l.couponMasterId AS ""クーポンマスタID"" FROM coupon_logs l JOIN ( SELECT couponId, MAX(createAtMillis) AS createAtMillis FROM coupon_logs WHERE type = 'displayed' GROUP BY couponId ) latest ON l.couponId = latest.couponId AND l.createAtMillis = latest.createAtMillis JOIN organization o ON l.organizationId = o.resourceId AND l.couponMasterId = '38a405c5-bdff-4aaa-8189-aaca9b05d1e4' AND l.couponMasterId = '38a405c5-bdff-4aaa-8189-aaca9b05d1e4' ORDER BY l.couponCode, l.couponName, l.createAtMillis LIMIT 100 OFFSET 0 "," _SAME_ AND l.couponMasterId = '38a405c5-bdff-4aaa-8189-aaca9b05d1e4' AND l.couponMasterId = '38a405c5-bdff-4aaa-8189-aaca9b05d1e4' ORDER BY l.couponCode, l.couponName, l.createAtMillis LIMIT 100 OFFSET 0 ",2
