aliasQuery,dc2.large_x2nodes_run_1,dc2.large_x2nodes_run_2,dc2.large_x2nodes_run_3,dc2.large_x3nodes_run_1,dc2.large_x3nodes_run_2,dc2.large_x3nodes_run_3,dc2.large_x4nodes_run_1,dc2.large_x4nodes_run_2,dc2.large_x4nodes_run_3,dc2.large_x5nodes_run_1,dc2.large_x5nodes_run_2,dc2.large_x5nodes_run_3,ra3.large_x3nodes_run_1,ra3.large_x3nodes_run_2,ra3.large_x3nodes_run_3,ra3.xlplus_x3nodes_run_1,ra3.xlplus_x3nodes_run_2,ra3.xlplus_x3nodes_run_3,ra3.4xlarge_x2nodes_run_1,ra3.4xlarge_x2nodes_run_2,ra3.4xlarge_x2nodes_run_3
Q1_1,10955,11897,11161,10955,10798,10713,10819,9118,10456,7672,6944,8975,6544,7085,6715,4540,4523,4515,3599,3583,3582
Q1_2,11021,12467,10791,10825,11167,10937,10177,9155,11180,7058,7999,8298,6532,6768,6817,4492,4590,4489,3789,3808,3801
Q1_3,10630,12116,10909,10499,11055,10936,10661,8936,9898,7472,7501,8490,6848,6844,6846,4574,4503,4570,4691,4569,4628
Q1_4,10715,10918,10711,10997,10669,11213,10689,9245,9302,7454,7456,7866,6847,6715,6986,4562,4646,4691,5071,5036,5045
Q1_5,10376,10603,10813,10445,10671,10771,10396,9247,9391,7297,7206,7438,6271,6707,6504,4398,4438,4372,3400,3347,3370
Q1_6,10468,10550,10677,10513,10935,10678,10303,8855,9318,7383,7175,6928,6568,6553,6505,4498,4506,4552,3309,3289,3341
Q1_7,11058,10848,11405,10773,11509,11191,10489,9120,9167,7623,7510,7574,6841,6784,6950,4747,4790,5266,4735,4721,4601
Q1_8,10642,10743,11298,10704,10836,11603,10298,8773,8814,7289,7422,7547,6488,6790,6589,4623,4593,4604,4146,4184,4170
Q1_9,10588,10561,11913,10958,10778,10790,10407,10349,9079,7324,7255,7252,6451,6554,6897,4611,4498,4545,4812,4616,4705
Q1_10,10994,10933,11130,11168,11408,10862,10620,9267,9844,7367,7207,7495,6624,6753,6901,4669,4627,4649,4396,4359,4341
Q2_1,1941,1970,2256,1490,1671,1537,1325,1391,1342,1421,1233,1262,747,765,773,790,674,709,918,877,851
