campaignId,aliasQuery,clusterName,status,durationInMs,createdAt
dc2.large_x4nodes_run_1,Q7_9,dc2.large_x4nodes,FINISHED,67479,2024-12-24T17:17:34.720Z
dc2.large_x4nodes_run_1,Q7_4,dc2.large_x4nodes,FINISHED,69082,2024-12-24T17:11:44.756Z
dc2.large_x4nodes_run_1,Q10_10,dc2.large_x4nodes,FINISHED,1552,2024-12-24T17:49:51.931Z
dc2.large_x4nodes_run_1,Q4_6,dc2.large_x4nodes,FINISHED,4021,2024-12-24T16:48:45.474Z
dc2.large_x4nodes_run_1,Q7_8,dc2.large_x4nodes,FINISHED,66342,2024-12-24T17:16:25.422Z
dc2.large_x4nodes_run_1,Q2_4,dc2.large_x4nodes,FINISHED,1281,2024-12-24T16:46:06.484Z
dc2.large_x4nodes_run_1,Q1_1,dc2.large_x4nodes,FINISHED,10819,2024-12-24T16:43:40.018Z
dc2.large_x4nodes_run_1,Q1_7,dc2.large_x4nodes,FINISHED,10489,2024-12-24T16:45:05.809Z
dc2.large_x4nodes_run_1,Q1_4,dc2.large_x4nodes,FINISHED,10689,2024-12-24T16:44:23.147Z
dc2.large_x4nodes_run_1,Q4_7,dc2.large_x4nodes,FINISHED,4880,2024-12-24T16:48:53.239Z
dc2.large_x4nodes_run_1,Q3_7,dc2.large_x4nodes,FINISHED,3765,2024-12-24T16:47:32.798Z
dc2.large_x4nodes_run_1,Q6_10,dc2.large_x4nodes,FINISHED,40760,2024-12-24T17:07:04.958Z
dc2.large_x4nodes_run_1,Q1_10,dc2.large_x4nodes,FINISHED,10620,2024-12-24T16:45:48.313Z
dc2.large_x4nodes_run_1,Q1_2,dc2.large_x4nodes,FINISHED,10177,2024-12-24T16:43:52.593Z
dc2.large_x4nodes_run_1,Q10_7,dc2.large_x4nodes,FINISHED,58946,2024-12-24T17:48:37.767Z
dc2.large_x4nodes_run_1,Q9_1,dc2.large_x4nodes,FINISHED,60502,2024-12-24T17:31:25.296Z
dc2.large_x4nodes_run_1,Q7_1,dc2.large_x4nodes,FINISHED,66241,2024-12-24T17:08:14.071Z
dc2.large_x4nodes_run_1,Q9_4,dc2.large_x4nodes,FINISHED,62635,2024-12-24T17:34:45.169Z
dc2.large_x4nodes_run_1,Q9_2,dc2.large_x4nodes,FINISHED,65158,2024-12-24T17:32:34.173Z
dc2.large_x4nodes_run_1,Q5_10,dc2.large_x4nodes,FINISHED,63926,2024-12-24T16:59:37.698Z
dc2.large_x4nodes_run_1,Q6_3,dc2.large_x4nodes,FINISHED,42832,2024-12-24T17:01:52.690Z
dc2.large_x4nodes_run_1,Q9_7,dc2.large_x4nodes,FINISHED,66779,2024-12-24T17:38:04.564Z
dc2.large_x4nodes_run_1,Q10_8,dc2.large_x4nodes,FINISHED,61480,2024-12-24T17:49:43.117Z
dc2.large_x4nodes_run_1,Q7_6,dc2.large_x4nodes,FINISHED,66413,2024-12-24T17:14:10.450Z
dc2.large_x4nodes_run_1,Q6_1,dc2.large_x4nodes,FINISHED,46144,2024-12-24T17:00:26.040Z
dc2.large_x4nodes_run_1,Q7_2,dc2.large_x4nodes,FINISHED,64577,2024-12-24T17:09:23.311Z
dc2.large_x4nodes_run_1,Q5_9,dc2.large_x4nodes,FINISHED,8168,2024-12-24T16:58:31.679Z
dc2.large_x4nodes_run_1,Q2_7,dc2.large_x4nodes,FINISHED,1176,2024-12-24T16:46:19.672Z
dc2.large_x4nodes_run_1,Q5_1,dc2.large_x4nodes,FINISHED,65328,2024-12-24T16:50:25.959Z
dc2.large_x4nodes_run_1,Q3_10,dc2.large_x4nodes,FINISHED,4189,2024-12-24T16:47:58.359Z
dc2.large_x4nodes_run_1,Q3_2,dc2.large_x4nodes,FINISHED,4375,2024-12-24T16:46:50.016Z
dc2.large_x4nodes_run_1,Q1_8,dc2.large_x4nodes,FINISHED,10298,2024-12-24T16:45:17.668Z
dc2.large_x4nodes_run_1,Q6_5,dc2.large_x4nodes,FINISHED,41935,2024-12-24T17:03:23.072Z
dc2.large_x4nodes_run_1,Q8_2,dc2.large_x4nodes,FINISHED,68513,2024-12-24T17:21:05.510Z
dc2.large_x4nodes_run_1,Q2_6,dc2.large_x4nodes,FINISHED,1908,2024-12-24T16:46:15.273Z
dc2.large_x4nodes_run_1,Q10_6,dc2.large_x4nodes,FINISHED,58159,2024-12-24T17:47:35.844Z
dc2.large_x4nodes_run_1,Q6_4,dc2.large_x4nodes,FINISHED,41824,2024-12-24T17:02:37.776Z
dc2.large_x4nodes_run_1,Q2_8,dc2.large_x4nodes,FINISHED,1272,2024-12-24T16:46:24.068Z
dc2.large_x4nodes_run_1,Q8_4,dc2.large_x4nodes,FINISHED,68021,2024-12-24T17:23:30.758Z
dc2.large_x4nodes_run_1,Q3_3,dc2.large_x4nodes,FINISHED,3734,2024-12-24T16:46:58.508Z
dc2.large_x4nodes_run_1,Q5_3,dc2.large_x4nodes,FINISHED,63642,2024-12-24T16:52:41.115Z
dc2.large_x4nodes_run_1,Q4_2,dc2.large_x4nodes,FINISHED,4093,2024-12-24T16:48:14.152Z
dc2.large_x4nodes_run_1,Q7_3,dc2.large_x4nodes,FINISHED,67272,2024-12-24T17:10:32.395Z
dc2.large_x4nodes_run_1,Q1_9,dc2.large_x4nodes,FINISHED,10407,2024-12-24T16:45:32.999Z
dc2.large_x4nodes_run_1,Q1_6,dc2.large_x4nodes,FINISHED,10303,2024-12-24T16:44:50.435Z
dc2.large_x4nodes_run_1,Q10_9,dc2.large_x4nodes,FINISHED,1542,2024-12-24T17:49:47.545Z
dc2.large_x4nodes_run_1,Q2_1,dc2.large_x4nodes,FINISHED,1325,2024-12-24T16:45:53.093Z
dc2.large_x4nodes_run_1,Q9_10,dc2.large_x4nodes,FINISHED,66231,2024-12-24T17:41:24.067Z
dc2.large_x4nodes_run_1,Q9_8,dc2.large_x4nodes,FINISHED,61692,2024-12-24T17:39:10.011Z
dc2.large_x4nodes_run_1,Q5_6,dc2.large_x4nodes,FINISHED,67869,2024-12-24T16:56:05.032Z
dc2.large_x4nodes_run_1,Q2_10,dc2.large_x4nodes,FINISHED,1286,2024-12-24T16:46:32.920Z
dc2.large_x4nodes_run_1,Q2_5,dc2.large_x4nodes,FINISHED,1227,2024-12-24T16:46:10.899Z
dc2.large_x4nodes_run_1,Q4_5,dc2.large_x4nodes,FINISHED,4276,2024-12-24T16:48:37.550Z
dc2.large_x4nodes_run_1,Q3_5,dc2.large_x4nodes,FINISHED,3741,2024-12-24T16:47:15.558Z
dc2.large_x4nodes_run_1,Q8_1,dc2.large_x4nodes,FINISHED,68036,2024-12-24T17:19:52.971Z
dc2.large_x4nodes_run_1,Q10_4,dc2.large_x4nodes,FINISHED,60540,2024-12-24T17:45:32.198Z
dc2.large_x4nodes_run_1,Q7_7,dc2.large_x4nodes,FINISHED,62245,2024-12-24T17:15:16.359Z
dc2.large_x4nodes_run_1,Q8_6,dc2.large_x4nodes,FINISHED,72948,2024-12-24T17:25:59.479Z
dc2.large_x4nodes_run_1,Q1_3,dc2.large_x4nodes,FINISHED,10661,2024-12-24T16:44:07.853Z
dc2.large_x4nodes_run_1,Q6_6,dc2.large_x4nodes,FINISHED,41556,2024-12-24T17:04:08.012Z
dc2.large_x4nodes_run_1,Q8_10,dc2.large_x4nodes,FINISHED,43359,2024-12-24T17:30:23.150Z
dc2.large_x4nodes_run_1,Q10_1,dc2.large_x4nodes,FINISHED,58566,2024-12-24T17:42:26.186Z
dc2.large_x4nodes_run_1,Q3_4,dc2.large_x4nodes,FINISHED,4200,2024-12-24T16:47:07.064Z
dc2.large_x4nodes_run_1,Q4_10,dc2.large_x4nodes,FINISHED,4268,2024-12-24T16:49:16.704Z
dc2.large_x4nodes_run_1,Q5_2,dc2.large_x4nodes,FINISHED,67148,2024-12-24T16:51:35.246Z
dc2.large_x4nodes_run_1,Q6_8,dc2.large_x4nodes,FINISHED,42098,2024-12-24T17:05:38.151Z
dc2.large_x4nodes_run_1,Q8_5,dc2.large_x4nodes,FINISHED,68435,2024-12-24T17:24:43.277Z
dc2.large_x4nodes_run_1,Q7_5,dc2.large_x4nodes,FINISHED,74259,2024-12-24T17:13:00.750Z
dc2.large_x4nodes_run_1,Q3_9,dc2.large_x4nodes,FINISHED,3762,2024-12-24T16:47:49.887Z
dc2.large_x4nodes_run_1,Q3_6,dc2.large_x4nodes,FINISHED,3876,2024-12-24T16:47:24.118Z
dc2.large_x4nodes_run_1,Q3_8,dc2.large_x4nodes,FINISHED,3730,2024-12-24T16:47:41.325Z
dc2.large_x4nodes_run_1,Q1_5,dc2.large_x4nodes,FINISHED,10396,2024-12-24T16:44:38.503Z
dc2.large_x4nodes_run_1,Q10_2,dc2.large_x4nodes,FINISHED,59010,2024-12-24T17:43:28.066Z
dc2.large_x4nodes_run_1,Q8_9,dc2.large_x4nodes,FINISHED,68467,2024-12-24T17:29:37.595Z
dc2.large_x4nodes_run_1,Q2_9,dc2.large_x4nodes,FINISHED,1201,2024-12-24T16:46:28.490Z
dc2.large_x4nodes_run_1,Q6_9,dc2.large_x4nodes,FINISHED,42549,2024-12-24T17:06:23.162Z
dc2.large_x4nodes_run_1,Q4_3,dc2.large_x4nodes,FINISHED,4149,2024-12-24T16:48:21.920Z
dc2.large_x4nodes_run_1,Q3_1,dc2.large_x4nodes,FINISHED,4085,2024-12-24T16:46:41.367Z
dc2.large_x4nodes_run_1,Q5_4,dc2.large_x4nodes,FINISHED,63538,2024-12-24T16:53:46.734Z
dc2.large_x4nodes_run_1,Q9_5,dc2.large_x4nodes,FINISHED,62415,2024-12-24T17:35:50.560Z
dc2.large_x4nodes_run_1,Q9_6,dc2.large_x4nodes,FINISHED,61206,2024-12-24T17:36:55.928Z
dc2.large_x4nodes_run_1,Q4_8,dc2.large_x4nodes,FINISHED,4130,2024-12-24T16:49:01.030Z
dc2.large_x4nodes_run_1,Q4_9,dc2.large_x4nodes,FINISHED,4498,2024-12-24T16:49:08.923Z
dc2.large_x4nodes_run_1,Q2_2,dc2.large_x4nodes,FINISHED,1389,2024-12-24T16:45:57.597Z
dc2.large_x4nodes_run_1,Q10_5,dc2.large_x4nodes,FINISHED,58936,2024-12-24T17:46:34.054Z
dc2.large_x4nodes_run_1,Q8_7,dc2.large_x4nodes,FINISHED,69020,2024-12-24T17:27:12.234Z
dc2.large_x4nodes_run_1,Q4_1,dc2.large_x4nodes,FINISHED,6008,2024-12-24T16:48:06.379Z
dc2.large_x4nodes_run_1,Q5_7,dc2.large_x4nodes,FINISHED,66687,2024-12-24T16:57:14.467Z
dc2.large_x4nodes_run_1,Q6_7,dc2.large_x4nodes,FINISHED,42148,2024-12-24T17:04:53.222Z
dc2.large_x4nodes_run_1,Q4_4,dc2.large_x4nodes,FINISHED,3947,2024-12-24T16:48:29.733Z
dc2.large_x4nodes_run_1,Q8_8,dc2.large_x4nodes,FINISHED,68265,2024-12-24T17:28:24.641Z
dc2.large_x4nodes_run_1,Q9_3,dc2.large_x4nodes,FINISHED,62100,2024-12-24T17:33:39.732Z
dc2.large_x4nodes_run_1,Q8_3,dc2.large_x4nodes,FINISHED,68597,2024-12-24T17:22:18.242Z
dc2.large_x4nodes_run_1,Q5_8,dc2.large_x4nodes,FINISHED,63087,2024-12-24T16:58:20.125Z
dc2.large_x4nodes_run_1,Q7_10,dc2.large_x4nodes,FINISHED,63526,2024-12-24T17:18:40.427Z
dc2.large_x4nodes_run_1,Q2_3,dc2.large_x4nodes,FINISHED,1509,2024-12-24T16:46:02.085Z
dc2.large_x4nodes_run_1,Q5_5,dc2.large_x4nodes,FINISHED,67280,2024-12-24T16:54:55.876Z
dc2.large_x4nodes_run_1,Q6_2,dc2.large_x4nodes,FINISHED,40755,2024-12-24T17:01:07.578Z
dc2.large_x4nodes_run_1,Q10_3,dc2.large_x4nodes,FINISHED,58771,2024-12-24T17:44:30.207Z
dc2.large_x4nodes_run_1,Q9_9,dc2.large_x4nodes,FINISHED,63302,2024-12-24T17:40:15.198Z
