campaignId,aliasQuery,clusterName,status,durationInMs,createdAt
ra3.xlplus_x3nodes_run_1,Q3_6,ra3.xlplus_x3nodes,FINISHED,2379,2024-12-24T16:46:58.780Z
ra3.xlplus_x3nodes_run_1,Q9_5,ra3.xlplus_x3nodes,FINISHED,31524,2024-12-24T17:11:22.925Z
ra3.xlplus_x3nodes_run_1,Q3_3,ra3.xlplus_x3nodes,FINISHED,2674,2024-12-24T16:46:43.059Z
ra3.xlplus_x3nodes_run_1,Q5_5,ra3.xlplus_x3nodes,FINISHED,31327,2024-12-24T16:50:57.543Z
ra3.xlplus_x3nodes_run_1,Q10_1,ra3.xlplus_x3nodes,FINISHED,26832,2024-12-24T17:14:29.001Z
ra3.xlplus_x3nodes_run_1,Q4_3,ra3.xlplus_x3nodes,FINISHED,2830,2024-12-24T16:47:36.408Z
ra3.xlplus_x3nodes_run_1,Q9_9,ra3.xlplus_x3nodes,FINISHED,29455,2024-12-24T17:13:29.220Z
ra3.xlplus_x3nodes_run_1,Q5_6,ra3.xlplus_x3nodes,FINISHED,29671,2024-12-24T16:51:29.451Z
ra3.xlplus_x3nodes_run_1,Q1_5,ra3.xlplus_x3nodes,FINISHED,4398,2024-12-24T16:44:59.312Z
ra3.xlplus_x3nodes_run_1,Q9_2,ra3.xlplus_x3nodes,FINISHED,30116,2024-12-24T17:09:41.342Z
ra3.xlplus_x3nodes_run_1,Q5_7,ra3.xlplus_x3nodes,FINISHED,28855,2024-12-24T16:52:01.571Z
ra3.xlplus_x3nodes_run_1,Q6_7,ra3.xlplus_x3nodes,FINISHED,22936,2024-12-24T16:56:03.655Z
ra3.xlplus_x3nodes_run_1,Q3_5,ra3.xlplus_x3nodes,FINISHED,2663,2024-12-24T16:46:53.506Z
ra3.xlplus_x3nodes_run_1,Q6_8,ra3.xlplus_x3nodes,FINISHED,21346,2024-12-24T16:56:28.365Z
ra3.xlplus_x3nodes_run_1,Q1_3,ra3.xlplus_x3nodes,FINISHED,4574,2024-12-24T16:44:42.226Z
ra3.xlplus_x3nodes_run_1,Q5_3,ra3.xlplus_x3nodes,FINISHED,29383,2024-12-24T16:49:50.198Z
ra3.xlplus_x3nodes_run_1,Q1_1,ra3.xlplus_x3nodes,FINISHED,4540,2024-12-24T16:44:24.671Z
ra3.xlplus_x3nodes_run_1,Q8_4,ra3.xlplus_x3nodes,FINISHED,30984,2024-12-24T17:05:16.657Z
